"Temp";"Salinidade";"Cd";"Pb";"Zn";"Cu";"Hg";"As";"N"
"media";25,93;37,3;0,2;1,37;22,87;2,41;5,43;46,93;12,12
"desvPad";1,54;0,83;0,3;1,78;19,79;5,81;15,67;46,57;3,22
"moda";26;37;0;0;3,73;0;0;16,56;16,11
"var";2,36;0,68;0,09;3,17;391,62;33,75;245,64;2168,57;10,39
"mediana";26;37;0,1;0,78;14,21;1,17;0;28,04;12,59
"max";28;39;1,08;8,39;79,15;33,55;83,73;235,04;18,86
"min";23;36;0;0;3,58;0;0;5,73;3,02
