temp	time	Carbono
T25	4dias	0.27175
T25	4dias	0.2744
T25	4dias	0.26395
T25	4dias	0.2744
T25	4dias	0.2723
T30	4dias	0.26425
T30	4dias	0.25945
T30	4dias	0.263
T30	4dias	0.2585
T30	4dias	0.26445
T25	7dias	0.26615
T25	7dias	0.25255
T25	7dias	0.2562
T25	7dias	0.25785
T25	7dias	0.25895
T30	7dias	0.2386
T30	7dias	0.26975
T30	7dias	0.2495
T30	7dias	0.2322
T30	7dias	0.2516
