"","Salinidade","Cd","Pb","Zn","Cu","Hg","As","N"
"media",37.3048780487805,0.204390243902439,1.36864756097561,22.8660975609756,2.40890243902439,5.43,46.9280487804878,12.3153158194173
"desvPad",0.826849209090704,0.297993692703886,1.7811215325283,19.7892670595906,5.80972407625493,15.672891355994,46.5679406076974,3.34470668899154
"mediana",37,0.1,0.77635,14.21,1.17,0,28.035,12.3564284729756
"max",39,1.08,8.3857,79.15,33.55,83.73,235.04,18.132138329365
"min",36,0,0,3.58,0,0,5.73,2.6983251395759
